Well,Treatment/ID,Timepoint (h),Mean Firing Rate (Hz),Replicate
B1,Tripli Tyr9,2,0,2
B2,Tripli TIC10,2,0,2
B3,Tripli DMSO,2,0,2
B4,Tripli Tyr9,2,0,2
B5,Tripli TIC10,2,0,2
B6,Tripli DMSO,2,0,2
B7,Tripli Tyr9,2,0,2
B8,Tripli TIC10,2,0.000104,2
C1,Tripli Tyr9,2,0.000104,2
C2,Tripli TIC10,2,0.008441,2
C3,Tripli DMSO,2,0,2
C4,Tripli Tyr9,2,0,2
C5,Tripli TIC10,2,0.000104,2
C6,Tripli DMSO,2,0,2
C7,Tripli Tyr9,2,0.000104,2
C8,Tripli TIC10,2,0,2
D1,WT Tyr9,2,0.000625,2
D2,WT TIC10,2,0.000104,2
D3,WT DMSO,2,0,2
D4,WT Tyr9,2,0.000521,2
D5,WT TIC10,2,0.000104,2
D6,WT DMSO,2,0,2
D7,WT Tyr9,2,0.003439,2
D8,WT TIC10,2,0,2
E1,WT Tyr9,2,0.000104,2
E2,WT TIC10,2,0.000313,2
E3,WT DMSO,2,0.019279,2
E4,WT Tyr9,2,0,2
E5,WT TIC10,2,0,2
E6,WT DMSO,2,0,2
E7,WT Tyr9,2,0,2
E8,WT TIC10,2,0.01313,2
F1,WT Tyr9,2,0,2
F2,WT TIC10,2,0,2
F3,WT DMSO,2,0.007816,2
F4,WT Tyr9,2,0,2
F5,WT TIC10,2,0,2
F6,WT DMSO,2,0,2
F7,WT Tyr9,2,0,2
F8,WT TIC10,2,0.000208,2
A1,Tripli Tyr9,4,0,2
A2,Tripli TIC10,4,0,2
A3,Tripli DMSO,4,0.000104,2
A4,Tripli Tyr9,4,0,2
A5,Tripli TIC10,4,0,2
A6,Tripli DMSO,4,0,2
A7,Tripli Tyr9,4,0,2
A8,Tripli TIC10,4,0.000625,2
B1,Tripli Tyr9,4,0,2
B2,Tripli TIC10,4,0,2
B3,Tripli DMSO,4,0,2
B4,Tripli Tyr9,4,0.000104,2
B5,Tripli TIC10,4,0,2
B6,Tripli DMSO,4,0,2
B7,Tripli Tyr9,4,0,2
B8,Tripli TIC10,4,0.000313,2
C1,Tripli Tyr9,4,0,2
