,Condition,Values
360,C19_0.5,0.99798
361,C19_0.5,0.955143
362,C19_0.5,0.516419
363,C19_0.5,0.790658
364,C19_0.5,0.865915
365,C19_0.5,0.974378
366,C19_0.5,0.783216
367,C19_0.5,1.131338
368,C19_0.5,0.834715
369,C19_0.5,0.734036
370,C19_0.5,0.692485
371,C19_0.5,0.897733
384,AG879_2.5,0.257477
385,AG879_2.5,0.251484
386,AG879_2.5,0.245765
387,AG879_2.5,0.248234
388,AG879_2.5,0.258026
389,AG879_2.5,0.224915
390,AG879_2.5,0.242145
391,AG879_2.5,0.235134
392,AG879_2.5,0.190088
393,AG879_2.5,0.185755
394,AG879_2.5,0.210177
395,AG879_2.5,0.200624
408,AG879_1,0.513506
409,AG879_1,0.482104
410,AG879_1,0.572734
411,AG879_1,0.560905
412,AG879_1,0.528249
413,AG879_1,0.515085
414,AG879_1,0.428993
415,AG879_1,0.584659
416,AG879_1,0.440653
417,AG879_1,0.479668
418,AG879_1,0.447151
419,AG879_1,0.618194
432,AG879_0.5,0.77838
433,AG879_0.5,0.808213
434,AG879_0.5,0.634993
435,AG879_0.5,0.639025
436,AG879_0.5,0.814212
437,AG879_0.5,0.7333
438,AG879_0.5,0.657864
439,AG879_0.5,0.778821
440,AG879_0.5,0.591614
441,AG879_0.5,0.689318
442,AG879_0.5,0.579477
443,AG879_0.5,0.659209
456,EN300_2.5,0.854424
457,EN300_2.5,0.849992
458,EN300_2.5,0.706866
459,EN300_2.5,0.712508
460,EN300_2.5,0.935213
461,EN300_2.5,0.841204
462,EN300_2.5,0.799958
463,EN300_2.5,0.799154
464,EN300_2.5,0.851318
465,EN300_2.5,0.897318
466,EN300_2.5,0.900613
467,EN300_2.5,0.905223
480,EN300_1,1.069821
481,EN300_1,0.962211
482,EN300_1,0.915029
483,EN300_1,0.946968
484,EN300_1,1.009955
485,EN300_1,1.019702
486,EN300_1,0.814512
487,EN300_1,0.986274
488,EN300_1,0.737824
489,EN300_1,0.902172
490,EN300_1,0.959936
491,EN300_1,0.713725
504,EN300_0.5,0.931862
505,EN300_0.5,0.756293
506,EN300_0.5,0.771893
507,EN300_0.5,0.943732
508,EN300_0.5,0.956938
509,EN300_0.5,0.998183
510,EN300_0.5,0.946473
511,EN300_0.5,0.968155
512,EN300_0.5,0.838503
513,EN300_0.5,0.76686
514,EN300_0.5,0.730074
515,EN300_0.5,0.768147
