,column,value,Compound,Concentration (M)
78,Chloroquine_0.5μΜ,0.524255,Chloroquine,5.00E-07
79,Chloroquine_0.5μΜ,1.215881,Chloroquine,5.00E-07
80,Chloroquine_0.5μΜ,0.762366,Chloroquine,5.00E-07
81,Chloroquine_0.5μΜ,1.151773,Chloroquine,5.00E-07
82,Chloroquine_100nM,0.917169,Chloroquine,1.00E-07
83,Chloroquine_100nM,0.998927,Chloroquine,1.00E-07
84,Chloroquine_100nM,1.101813,Chloroquine,1.00E-07
85,Chloroquine_100nM,1.344888,Chloroquine,1.00E-07
86,Chloroquine_10nM,0.926956,Chloroquine,1.00E-08
87,Chloroquine_10nM,1.183776,Chloroquine,1.00E-08
88,Chloroquine_10nM,0.836375,Chloroquine,1.00E-08
89,Chloroquine_10nM,1.46377,Chloroquine,1.00E-08
90,Chloroquine_10μM,0.617109,Chloroquine,1.00E-05
91,Chloroquine_10μM,0.446353,Chloroquine,1.00E-05
92,Chloroquine_10μM,0.403728,Chloroquine,1.00E-05
93,Chloroquine_10μM,0.254667,Chloroquine,1.00E-05
94,Chloroquine_10μM,0.405809,Chloroquine,1.00E-05
95,Chloroquine_10μM,0.617109,Chloroquine,1.00E-05
96,Chloroquine_10μM,0.446353,Chloroquine,1.00E-05
97,Chloroquine_10μM,0.403728,Chloroquine,1.00E-05
98,Chloroquine_10μM,0.254667,Chloroquine,1.00E-05
99,Chloroquine_10μM,0.405809,Chloroquine,1.00E-05
100,Chloroquine_10μM,1.000708,Chloroquine,1.00E-05
101,Chloroquine_10μM,0.961926,Chloroquine,1.00E-05
102,Chloroquine_10μM,0.987717,Chloroquine,1.00E-05
103,Chloroquine_10μM,1.021565,Chloroquine,1.00E-05
104,Chloroquine_10μM,0.95615,Chloroquine,1.00E-05
105,Chloroquine_1μM,1.028981,Chloroquine,1.00E-06
106,Chloroquine_1μM,1.057704,Chloroquine,1.00E-06
107,Chloroquine_1μM,0.694766,Chloroquine,1.00E-06
108,Chloroquine_1μM,0.973035,Chloroquine,1.00E-06
109,Chloroquine_1μM,0.856797,Chloroquine,1.00E-06
110,Chloroquine_1μM,1.028981,Chloroquine,1.00E-06
111,Chloroquine_1μM,1.057704,Chloroquine,1.00E-06
112,Chloroquine_1μM,0.994766,Chloroquine,1.00E-06
113,Chloroquine_1μM,0.973035,Chloroquine,1.00E-06
114,Chloroquine_1μM,0.856797,Chloroquine,1.00E-06
115,Chloroquine_1μM,1.023418,Chloroquine,1.00E-06
116,Chloroquine_1μM,1.03197,Chloroquine,1.00E-06
117,Chloroquine_1μM,0.975396,Chloroquine,1.00E-06
118,Chloroquine_1μM,1.085983,Chloroquine,1.00E-06
119,Chloroquine_1μM,1.039475,Chloroquine,1.00E-06
120,Chloroquine_1μM,0.994003,Chloroquine,1.00E-06
121,Chloroquine_1μM,1.091857,Chloroquine,1.00E-06
122,Chloroquine_1μM,0.875433,Chloroquine,1.00E-06
123,Chloroquine_1μM,1.38312,Chloroquine,1.00E-06
124,Chloroquine_1μM,0.983636,Chloroquine,1.00E-06
125,Chloroquine_1μM,1.118426,Chloroquine,1.00E-06
126,Chloroquine_1μM,1.038085,Chloroquine,1.00E-06
127,Chloroquine_1μM,1.18777,Chloroquine,1.00E-06
128,Chloroquine_1μM,0.973103,Chloroquine,1.00E-06
129,Chloroquine_1μM,1.003247,Chloroquine,1.00E-06
130,Chloroquine_1μM,1.005485,Chloroquine,1.00E-06
131,Chloroquine_1μM,1.191162,Chloroquine,1.00E-06
132,Chloroquine_1μM,0.80239,Chloroquine,1.00E-06
133,Chloroquine_1μM,1.348737,Chloroquine,1.00E-06
134,Chloroquine_2.5μΜ,0.993745,Chloroquine,2.50E-06
135,Chloroquine_2.5μΜ,1.071992,Chloroquine,2.50E-06
136,Chloroquine_2.5μΜ,1.184523,Chloroquine,2.50E-06
137,Chloroquine_2.5μΜ,1.114271,Chloroquine,2.50E-06
138,Chloroquine_2.5μΜ,0.972619,Chloroquine,2.50E-06
