,Time (sec),Condition,Values
990,210,Tyr 1 Um,1.819965
991,240,Tyr 1 Um,1.943927
992,30,Tyr 1 Um,1.563377
993,60,Tyr 1 Um,1.580894
994,90,Tyr 1 Um,1.537831
995,120,Tyr 1 Um,1.43565
996,150,Tyr 1 Um,2.249452
997,180,Tyr 1 Um,2.196902
998,210,Tyr 1 Um,2.227556
999,240,Tyr 1 Um,2.247263
1000,30,Tyr 1 Um,1.577369
1001,60,Tyr 1 Um,1.461181
1002,90,Tyr 1 Um,1.465602
1003,120,Tyr 1 Um,1.542639
1004,150,Tyr 1 Um,2.298488
1005,180,Tyr 1 Um,2.322483
1006,210,Tyr 1 Um,2.279544
1007,240,Tyr 1 Um,2.166514
1008,30,Tyr 0.5 Um,1.15251
1009,60,Tyr 0.5 Um,1.157694
1010,90,Tyr 0.5 Um,1.187068
1011,120,Tyr 0.5 Um,1.116224
1012,150,Tyr 0.5 Um,1.532072
1013,180,Tyr 0.5 Um,1.419759
1014,210,Tyr 0.5 Um,1.373105
1015,240,Tyr 0.5 Um,1.380593
1016,30,Tyr 0.5 Um,1.674557
1017,60,Tyr 0.5 Um,1.672643
1018,90,Tyr 0.5 Um,1.654143
1019,120,Tyr 0.5 Um,1.643299
1020,150,Tyr 0.5 Um,1.801504
1021,180,Tyr 0.5 Um,1.737074
1022,210,Tyr 0.5 Um,1.78747
1023,240,Tyr 0.5 Um,1.71666
1024,30,Tyr 0.5 Um,1.539651
1025,60,Tyr 0.5 Um,1.456893
1026,90,Tyr 0.5 Um,1.415969
1027,120,Tyr 0.5 Um,1.564205
1028,150,Tyr 0.5 Um,1.835213
1029,180,Tyr 0.5 Um,1.816115
1030,210,Tyr 0.5 Um,1.809749
1031,240,Tyr 0.5 Um,1.765187
1032,30,Tyr 0.5 Um,1.963736
1033,60,Tyr 0.5 Um,1.955118
1034,90,Tyr 0.5 Um,1.968661
1035,120,Tyr 0.5 Um,2.016677
1036,150,Tyr 0.5 Um,2.563322
1037,180,Tyr 0.5 Um,2.451284
1038,210,Tyr 0.5 Um,2.354021
1039,240,Tyr 0.5 Um,2.402037
1040,30,Tyr 0.5 Um,2.084161
1041,60,Tyr 0.5 Um,2.2424
1042,90,Tyr 0.5 Um,2.14908
1043,120,Tyr 0.5 Um,2.172072
1044,150,Tyr 0.5 Um,2.913227
1045,180,Tyr 0.5 Um,2.562936
1046,210,Tyr 0.5 Um,2.769865
1047,240,Tyr 0.5 Um,2.8713
1048,30,Tyr 0.5 Um,1.796444
1049,60,Tyr 0.5 Um,1.803077
1050,90,Tyr 0.5 Um,1.76549
1051,120,Tyr 0.5 Um,1.860563
1052,150,Tyr 0.5 Um,3.132999
1053,180,Tyr 0.5 Um,2.914109
1054,210,Tyr 0.5 Um,2.861045
1055,240,Tyr 0.5 Um,2.725068
1056,30,Tyr 0.5 Um,2.536201
1057,60,Tyr 0.5 Um,2.505096
1058,90,Tyr 0.5 Um,2.467325
1059,120,Tyr 0.5 Um,2.427333
1060,150,Tyr 0.5 Um,3.703765
1061,180,Tyr 0.5 Um,3.461587
1062,210,Tyr 0.5 Um,2.968344
1063,240,Tyr 0.5 Um,2.898357
1064,30,Tyr 0.5 Um,2.636295
1065,60,Tyr 0.5 Um,2.710412
1066,90,Tyr 0.5 Um,2.759823
1067,120,Tyr 0.5 Um,2.835998
1068,150,Tyr 0.5 Um,3.625549
1069,180,Tyr 0.5 Um,3.652313
1070,210,Tyr 0.5 Um,3.051143
1071,240,Tyr 0.5 Um,2.823646
1072,30,Tyr 0.5 Um,2.052922
1073,60,Tyr 0.5 Um,1.937023
1074,90,Tyr 0.5 Um,1.939169
1075,120,Tyr 0.5 Um,1.917706
1076,150,Tyr 0.5 Um,3.474836
1077,180,Tyr 0.5 Um,2.867437
1078,210,Tyr 0.5 Um,2.650663
1079,240,Tyr 0.5 Um,2.656028
1080,30,Tyr 0.5 Um,2.147132
1081,60,Tyr 0.5 Um,2.094355
1082,90,Tyr 0.5 Um,2.103151
1083,120,Tyr 0.5 Um,2.178798
1084,150,Tyr 0.5 Um,2.825312
1085,180,Tyr 0.5 Um,2.709204
1086,210,Tyr 0.5 Um,2.770777
1087,240,Tyr 0.5 Um,2.676658
1088,30,Tyr 0.5 Um,1.466265
1089,60,Tyr 0.5 Um,1.395884
1090,90,Tyr 0.5 Um,1.378289
1091,120,Tyr 0.5 Um,1.470454
1092,150,Tyr 0.5 Um,2.50857
1093,180,Tyr 0.5 Um,2.392944
1094,210,Tyr 0.5 Um,2.334294
1095,240,Tyr 0.5 Um,2.157504
1096,30,Tyr 0.5 Um,1.554444
1097,60,Tyr 0.5 Um,1.543748
1098,90,Tyr 0.5 Um,1.532161
1099,120,Tyr 0.5 Um,1.484031
1100,150,Tyr 0.5 Um,2.559842
1101,180,Tyr 0.5 Um,2.410101
1102,210,Tyr 0.5 Um,2.394058
1103,240,Tyr 0.5 Um,2.336123
1104,30,Tyr 0.5 Um,2.076177
1105,60,Tyr 0.5 Um,1.976398
1106,90,Tyr 0.5 Um,1.866065
1107,120,Tyr 0.5 Um,1.915955
1108,150,Tyr 0.5 Um,2.718986
1109,180,Tyr 0.5 Um,2.697879
1110,210,Tyr 0.5 Um,2.72858
1111,240,Tyr 0.5 Um,2.72954
1112,30,Tyr 0.5 Um,1.437294
1113,60,Tyr 0.5 Um,1.539552
1114,90,Tyr 0.5 Um,1.498838
1115,120,Tyr 0.5 Um,1.491263
1116,150,Tyr 0.5 Um,2.54509
1117,180,Tyr 0.5 Um,2.687115
1118,210,Tyr 0.5 Um,2.728775
1119,240,Tyr 0.5 Um,2.432416
1120,30,Tyr 0.5 Um,1.331448
1121,60,Tyr 0.5 Um,1.308235
1122,90,Tyr 0.5 Um,1.247714
1123,120,Tyr 0.5 Um,1.279218
1124,150,Tyr 0.5 Um,2.236766
1125,180,Tyr 0.5 Um,2.279876
1126,210,Tyr 0.5 Um,2.334593
1127,240,Tyr 0.5 Um,2.461438
