Plate,Well,Nuclei_Surface_MeanArea,Nuclei_Living_Ratio_TH_SNCA,Nuclei_Living_Ratio_SNCA,Nuclei_Living_Ratio_MAP2_SNCA,Nuclei_Living_Ratio_MAP2,Membrane_Surface_SurfacePerNuclei_SNCA,Membrane_Surface_SurfacePerNuclei_MAP2,Membrane_Intensity_MeanIntensity_TH,Membrane_Intensity_MeanIntensity_SNCA,IndividualCell_Surface_MeanSurface_SNCA,IndividualCell_Intensity_SumIntensity_SNCA,IndividualCell_Intensity_RadialProfile_Minimum_SNCA,IndividualCell_Intensity_RadialProfile_MaxSlope_SNCA,IndividualCell_Intensity_RadialProfile_InterceptFit_SNCA,IndividualCell_Intensity_MeanIntensity_SNCA,Cell_TH_SNCA_Intensity_SumIntensityPerNuclei_SNCA,Cell_Surface_RatioSurface_TH_SNCA,Cell_SurfacePerNuclei_TH_SNCA,Cell_SurfacePerNuclei_TH,Cell_SurfacePerNuclei_MAP2,Cell_Neurites_LengthPerNuclei_TH,Cell_Neurites_LengthPerNuclei_MAP2,Cell_Neurites_BranchingPointsPerNuclei_TH,Cell_Neurites_BranchingPointsPerNuclei_MAP2,Cell_Intensity_SumIntensityPerNuclei_SNCA,Cell_Intensity_MeanIntensity_MAP2,Cell_Correlation_VanSteelselsSigmaX_TH_SNCA,Cell_Correlation_VanSteelselsMeanY_TH_SNCA,Cell_Correlation_VanSteelselsMeanX_TH_SNCA,Cell_Correlation_MAP2_SNCA,IndividualCell_Intensity_RadialProfile_Mean_SNCA,Cell_Texture_SNCA_AngularSecondMoment_000,IndividualCell_Intensity_RadialProfile_Median_SNCA,Nuclei_Ratio_Living,IndividualCell_Intensity_RadialProfile_SlopeFit_SNCA,Cell_Correlation_TH_SNCA,Cytoplasm_SurfacePerNuclei_SNCA,Cell_Intensity_MeanIntensity_SNCA,Cell_SurfacePerNuclei_SNCA,Cytoplasm_Intensity_MeanIntensity_SNCA,tags
PD-SC1-01,J14,-1.259144053653956,-0.1748933424779295,-1.4663826739877763,-1.8322629773406836,-1.569092608971526,1.6168190435256717,-0.3391777026732992,1.0337288909173916,0.7804464373343816,0.28536813427839364,1.2191305811227613,4.4963697967087395,1.4121409201648716,1.144384947119535,1.6038475811261612,1.069059220809466,0.5820811594314226,0.0628515135231937,-1.5561149625723028,-0.9053408534613142,-0.44271829248427885,-0.22172844092836128,-0.5476395049310369,-0.7819432271725834,0.499828573956513,2.317405242963274,1.2189082771776028,1.6814876745620815,0.6025026239601019,0.0,1.928949357520787,1.7099250291461128,2.2750696378830098,-1.2628676849909293,1.358862912271743,0.0,0.15940966501496479,1.3645820309569676,0.0,0.6830341643681282,WT - DMSO
PD-SC1-01,K12,3.0774987746766156,0.5289344668903091,3.0639513708640043,2.2225725050649823,0.9066159222442272,10.957376934323465,6.933968175686458,3.5843298341700867,-6.34346783295711,6.2317248862928,2.733025797351766,0.271539206195637,-2.899493800676198,1.8868909469580513,2.023602122361393,5.121723048776665,2.3747563661641338,6.537370141500983,9.280907469741894,8.08447003968774,3.303345081564959,3.7279994755015533,3.6486373347251946,8.254457960738316,5.780748302329181,-4.363574531171041,0.9754814997852305,-0.1656252582181684,1.0924954741090862,1.195634544006236,0.3087889476778371,-2.1842822588340733,0.49860871771871146,2.918037015382955,-2.476692738741594,-0.5422468179051614,20.254076299649874,1.4595620971240264,8.542215078017811,-0.311753282683846,Mut - PRO
PD-SC1-01,K13,2.6331890368584268,2.6125077469940807,1.3270149572551033,0.8941713089787319,-1.1219644676882787,4.395509794633425,2.2467341639953005,0.23061007150463755,-5.128990210030422,11.997250709948514,7.814626264039044,0.8305905130687757,-0.7884405166985939,3.3745705913713455,4.9256744534133805,11.29021913894027,1.4010067318149162,11.841279330109257,6.566505553395227,6.91002918666352,1.3747303734153127,3.622027295773418,0.7363140733728224,3.0958785554406023,9.541439757570394,1.893767709172844,0.1622100031869048,1.3165051865387851,-0.8969884334429874,1.0489038692947805,3.618909978257423,-1.8185952887712444,4.125259666682408,1.1918265475073366,-2.02830165277756,-0.28501535870798866,21.733773072553483,4.252627221559633,10.832965141966834,0.4738350127411649,Mut - DMSO
PD-SC1-01,K14,2.1045361646156544,-0.9187795185362323,0.0,0.0,0.09931333999884495,0.0,2.8732256567209653,0.0,-1.044475046618901,-1.9585500888878622,-0.9646662740711095,0.9157792836398819,-1.8005373645132254,1.1543972760647256,0.24371028712659715,0.0,0.0,0.6946175891097941,4.0134771605988435,3.526826379236492,3.1636185936775343,1.925811333537305,2.5814332233790553,1.4507279468778898,-0.024489592780198625,-0.6755804416248998,0.0,-0.0911338209636324,-1.6527917124119607,0.350600181346711,0.19664669708761456,-0.5567886585320315,0.17316521882819594,0.19326756314576735,-1.7716389348363495,0.16413480790757973,0.32088227863600477,-0.41188723984635667,0.9348708229658408,-0.35680807088549216,WT - DMSO
PD-SC1-01,I12,2.0215806497130795,-2.434205727120261,-0.2778986693221842,-0.9720646142956244,-0.4432021380914761,5.770806179301304,5.754700395990775,0.9294690400121656,-5.439340219844931,9.91044559370166,4.480154596449585,3.0002420135528296,-3.3382101853406825,4.178328485933379,3.3631019016697112,8.41960342928033,6.118183773362447,13.747955848110335,10.620326094881639,7.459467854239331,4.54556754126493,4.255744897067182,4.97053549353693,8.101896637693768,5.188581919529296,-2.728225717610359,0.24616520638674214,0.032054955954086035,-1.4021408797386,1.6990663610324892,1.28899433573155,-2.600438816674757,1.3744319791322417,0.7111842072940089,-4.9224739450671375,0.2594667199905623,16.349805407064242,0.7098839086620586,8.544677115550074,-0.5622257280044586,Mut - PRO
PD-SC1-01,I13,-0.5502213061174428,0.7144382788562027,-0.9020317463244598,-1.9779335742969673,-3.681427733661481,4.100072842435035,3.188709186115666,0.6279020234291808,-4.485315045637452,8.536543993720127,4.457630243911519,0.0399322362053431,-1.0913225917072757,3.7154055123498493,5.50884058824928,6.666344952369863,4.248483789428677,6.84377126992656,2.518015116900792,5.437234741199199,0.6412604673216218,6.095614974430701,0.10242991207179637,5.424897254932973,5.881516954588688,2.2456297117605653,0.22537550055193498,-0.0674160284415516,-1.0542920741813397,2.0730450146602712,4.488846430204457,3.884869744883354,3.603978801756294,-0.23648673214206312,-2.7387910547453074,0.009784167858784684,14.79860871088186,2.5415060779979846,7.35498540799479,-0.3778675575727563,Mut - DMSO
PD-SC1-01,I14,-0.13511190954495533,-2.2100787810520486,1.3914457962782842,0.6793746185594053,-0.9735033840296897,-0.051534275283607656,1.6087466094196483,-1.3575536284801484,-0.8908350917656287,-0.916725925241843,-0.35422588197531074,0.007986447241159414,-2.171249100430546,-0.705297552478185,-0.8130555409116871,-0.726366875221132,2.5022403111344143,-0.9717602543435461,0.5415570468575344,1.3872483456155513,1.6633477998781947,2.1282360461558647,1.378815029573545,1.5357131089745688,-1.270916189254352,1.091716622906177,-0.31510096484705197,-0.9066585374417329,-1.3459925361794538,-1.050826441028423,-2.6124525255918565,0.0,-2.0506689367829645,0.0,-1.5985599756542317,-0.5574426697900465,-0.946705869406519,-0.4224113469008766,-1.2479013092109856,-0.18378750853322215,WT - DMSO
PD-SC1-01,J12,1.7864998033000732,2.2863255122759387,-0.6121394576170153,-1.1555016623146377,-3.6876802572631675,5.065848764734703,5.657115504561873,-0.5313403316598218,-2.1789951172833444,4.283315632719968,2.1336801707966764,-0.07187802516937547,-3.845718664025699,3.4489181966183327,2.9651105577452426,5.892933239431573,0.6054712878524595,6.623520060899158,4.63149364458271,7.903527477642862,0.5751634359894305,5.464475610822153,0.3041191647982899,6.6640593252543106,5.998478179123625,0.32334067308348613,0.5170321600288206,1.3307518336294895,-1.176314646779246,1.148262376489331,0.8637006242826333,-0.4719977429914488,0.8699320735564898,0.44752944182139404,-4.573863601987834,0.4115036690426919,12.743677473252188,2.4372516424891266,7.664850417412735,-0.12375800207990721,Mut - PRO
PD-SC1-01,N12,2.706763037166564,-0.6174319334167295,-1.771336717272077,-2.3132794277067266,-0.2759834836278276,7.53851049981192,7.142038119551502,1.9176783812566545,-4.81196020217882,3.686906009743033,1.9427406255652158,4.704017424975858,-3.4923635343421764,4.224856367502211,3.4307053967643615,7.146784853750622,1.2329773158896333,8.956882500447785,9.785245680017498,8.315556895963912,3.378983184846339,3.554860898640675,3.2306844284032827,9.455413253729247,5.331237143046738,-3.269051646894535,-0.216140288484188,-1.9390453326166799,13.966569414939919,-0.2651354592139388,1.1026893610667874,-1.6656135343066685,1.0507736886832564,0.6438288861484648,-4.509588112440663,-3.6770059658809164,10.676181003203693,1.9481108792956676,7.199701183638346,-0.04299903027820789,Mut - PRO
PD-SC1-01,N13,-0.8691626366865056,-0.03485564855949402,-1.1336294663918944,-2.234796021591971,-5.037498317598887,8.427378400600555,1.4477139873224936,0.08551650692226166,-3.18409866031995,10.405027820746655,5.090366701188579,-0.07187802516937547,-3.2156858881527626,4.21955572276652,5.180704104658504,7.013677429540091,7.3473660021903875,6.196563227655382,1.6441535933019034,2.383159644820922,0.3687122146678935,1.4635795926395392,0.12636261244603547,1.1835462918421178,7.232593067751995,0.45253662924836363,0.30318321009094207,0.4816708329164441,-0.9854802928772187,1.0261662542582577,3.176499818034211,-0.6887860419510405,2.6604961404088616,0.20384942295504102,-4.465444467569428,-0.037273954107311685,18.918926584758356,3.3583741124361666,8.463254017161592,-0.13048218685958182,Mut - DMSO
