CID,5614,2044,1838043,3511020,135419190,135407924
5614,100,86,55,62,92,80
2044,86,100,50,56,80,93
1838043,55,50,100,52,53,49
3511020,62,56,52,100,68,61
135419190,92,80,53,68,100,87
135407924,80,93,49,61,87,100
