,Plate,Well,tags,Concentration,BATCH_ID,CPD_ID,Target,mahalanobis_from_pos,mahalanobis_from_neg,Cell_Neurites_LengthPerNuclei_MAP2,Nuclei_Number_Living,Nuclei_Surface_MeanArea,Nuclei_Living_Ratio_TH_SNCA,Nuclei_Living_Ratio_SNCA,Nuclei_Living_Ratio_MAP2_SNCA,Nuclei_Living_Ratio_MAP2,Membrane_Surface_SurfacePerNuclei_SNCA,Membrane_Surface_SurfacePerNuclei_MAP2,Membrane_Intensity_MeanIntensity_TH,Membrane_Intensity_MeanIntensity_SNCA,IndividualCell_Surface_MeanSurface_SNCA,IndividualCell_Intensity_SumIntensity_SNCA,IndividualCell_Intensity_RadialProfile_Minimum_SNCA,IndividualCell_Intensity_RadialProfile_MaxSlope_SNCA,IndividualCell_Intensity_RadialProfile_InterceptFit_SNCA,IndividualCell_Intensity_MeanIntensity_SNCA,Cell_TH_SNCA_Intensity_SumIntensityPerNuclei_SNCA,Cell_Surface_RatioSurface_TH_SNCA,Cell_SurfacePerNuclei_TH_SNCA,Cell_SurfacePerNuclei_TH,Cell_SurfacePerNuclei_MAP2,Cell_Neurites_LengthPerNuclei_TH,Cell_Neurites_BranchingPointsPerNuclei_TH,Cell_Neurites_BranchingPointsPerNuclei_MAP2,Cell_Intensity_SumIntensityPerNuclei_SNCA,Cell_Intensity_MeanIntensity_MAP2,Cell_Correlation_VanSteelselsSigmaX_TH_SNCA,Cell_Correlation_VanSteelselsMeanY_TH_SNCA,Cell_Correlation_VanSteelselsMeanX_TH_SNCA,Cell_Correlation_MAP2_SNCA,IndividualCell_Intensity_RadialProfile_Mean_SNCA,Cell_Texture_SNCA_AngularSecondMoment_000,IndividualCell_Intensity_RadialProfile_Median_SNCA,Nuclei_Ratio_Living,IndividualCell_Intensity_RadialProfile_SlopeFit_SNCA,Cell_Correlation_TH_SNCA,Cytoplasm_SurfacePerNuclei_SNCA,Cell_Intensity_MeanIntensity_SNCA,Cell_SurfacePerNuclei_SNCA,Cytoplasm_Intensity_MeanIntensity_SNCA,Nuclei_Number_Living_median,Cell_Neurites_LengthPerNuclei_MAP2_median,Nuclei_Number_Living_std,Cell_Neurites_LengthPerNuclei_MAP2_std,non_toxic,exp_condition
0,PD-SC1-01,J14,WT;DMSO,,,,,1.258056549,5.919723403,-0.221728441,3502,-1.259144054,-0.174893342,-1.466382674,-1.832262977,-1.569092609,1.616819044,-0.339177703,1.033728891,0.780446437,0.285368134,1.219130581,4.496369797,1.41214092,1.144384947,1.603847581,1.069059221,0.582081159,0.062851514,-1.556114963,-0.905340853,-0.442718292,-0.547639505,-0.781943227,0.499828574,2.317405243,1.218908277,1.681487675,0.602502624,0,1.928949358,1.709925029,2.275069638,-1.262867685,1.358862912,0,0.159409665,1.364582031,0,0.683034164,2398,5.532633638,337.2304311,2.104052174,TRUE,WT;DMSO
1,PD-SC1-01,K12,Mut;PRO,,,,,14.07861797,5.208285163,3.727999476,3037,3.077498775,0.528934467,3.063951371,2.222572505,0.906615922,10.95737693,6.933968176,3.584329834,-6.343467833,6.231724886,2.733025797,0.271539206,-2.899493801,1.886890947,2.023602122,5.121723049,2.374756366,6.537370142,9.28090747,8.08447004,3.303345082,3.648637335,8.254457961,5.780748302,-4.363574531,0.9754815,-0.165625258,1.092495474,1.195634544,0.308788948,-2.184282259,0.498608718,2.918037015,-2.476692739,-0.542246818,20.2540763,1.459562097,8.542215078,-0.311753283,2398,5.532633638,337.2304311,2.104052174,TRUE,Mut;PRO
2,PD-SC1-01,K13,Mut;DMSO,,,,,12.49749537,1.488406726,3.622027296,2151,2.633189037,2.612507747,1.327014957,0.894171309,-1.121964468,4.395509795,2.246734164,0.230610072,-5.12899021,11.99725071,7.814626264,0.830590513,-0.788440517,3.374570591,4.925674453,11.29021914,1.401006732,11.84127933,6.566505553,6.910029187,1.374730373,0.736314073,3.095878555,9.541439758,1.893767709,0.162210003,1.316505187,-0.896988433,1.048903869,3.618909978,-1.818595289,4.125259667,1.191826548,-2.028301653,-0.285015359,21.73377307,4.252627222,10.83296514,0.473835013,2398,5.532633638,337.2304311,2.104052174,TRUE,Mut;DMSO
3,PD-SC1-01,K14,WT;DMSO,,,,,2.581593121,5.96356477,1.925811334,3151,2.104536165,-0.918779519,0,0,0.09931334,0,2.873225657,0,-1.044475047,-1.958550089,-0.964666274,0.915779284,-1.800537365,1.154397276,0.243710287,0,0,0.694617589,4.013477161,3.526826379,3.163618594,2.581433223,1.450727947,-0.024489593,-0.675580442,0,-0.091133821,-1.652791712,0.350600181,0.196646697,-0.556788659,0.173165219,0.193267563,-1.771638935,0.164134808,0.320882279,-0.41188724,0.934870823,-0.356808071,2398,5.532633638,337.2304311,2.104052174,TRUE,WT;DMSO
4,PD-SC1-01,I12,Mut;PRO,,,,,16.04758101,3.050723405,4.255744897,3156,2.02158065,-2.434205727,-0.277898669,-0.972064614,-0.443202138,5.770806179,5.754700396,0.92946904,-5.43934022,9.910445594,4.480154596,3.000242014,-3.338210185,4.178328486,3.363101902,8.419603429,6.118183773,13.74795585,10.62032609,7.459467854,4.545567541,4.970535494,8.101896638,5.18858192,-2.728225718,0.246165206,0.032054956,-1.40214088,1.699066361,1.288994336,-2.600438817,1.374431979,0.711184207,-4.922473945,0.25946672,16.34980541,0.709883909,8.544677116,-0.562225728,2398,5.532633638,337.2304311,2.104052174,TRUE,Mut;PRO
5,PD-SC1-01,I13,Mut;DMSO,,,,,12.10957217,1.679251967,6.095614974,2561,-0.550221306,0.714438279,-0.902031746,-1.977933574,-3.681427734,4.100072842,3.188709186,0.627902023,-4.485315046,8.536543994,4.457630244,0.039932236,-1.091322592,3.715405512,5.508840588,6.666344952,4.248483789,6.84377127,2.518015117,5.437234741,0.641260467,0.102429912,5.424897255,5.881516955,2.245629712,0.225375501,-0.067416028,-1.054292074,2.073045015,4.48884643,3.884869745,3.603978802,-0.236486732,-2.738791055,0.009784168,14.79860871,2.541506078,7.354985408,-0.377867558,2398,5.532633638,337.2304311,2.104052174,TRUE,Mut;DMSO
6,PD-SC1-01,I14,WT;DMSO,,,,,0.377847236,6.403662598,2.128236046,3356,-0.13511191,-2.210078781,1.391445796,0.679374619,-0.973503384,-0.051534275,1.608746609,-1.357553628,-0.890835092,-0.916725925,-0.354225882,0.007986447,-2.1712491,-0.705297552,-0.813055541,-0.726366875,2.502240311,-0.971760254,0.541557047,1.387248346,1.6633478,1.37881503,1.535713109,-1.270916189,1.091716623,-0.315100965,-0.906658537,-1.345992536,-1.050826441,-2.612452526,0,-2.050668937,0,-1.598559976,-0.55744267,-0.946705869,-0.422411347,-1.247901309,-0.183787509,2398,5.532633638,337.2304311,2.104052174,TRUE,WT;DMSO
7,PD-SC1-01,J12,Mut;PRO,,,,,10.08908628,3.343299609,5.464475611,2686,1.786499803,2.286325512,-0.612139458,-1.155501662,-3.687680257,5.065848765,5.657115505,-0.531340332,-2.178995117,4.283315633,2.133680171,-0.071878025,-3.845718664,3.448918197,2.965110558,5.892933239,0.605471288,6.623520061,4.631493645,7.903527478,0.575163436,0.304119165,6.664059325,5.998478179,0.323340673,0.51703216,1.330751834,-1.176314647,1.148262376,0.863700624,-0.471997743,0.869932074,0.447529442,-4.573863602,0.411503669,12.74367747,2.437251642,7.664850417,-0.123758002,2398,5.532633638,337.2304311,2.104052174,TRUE,Mut;PRO
8,PD-SC1-01,N12,Mut;PRO,,,,,14.51384,5.103008044,3.554860899,3589,2.706763037,-0.617431933,-1.771336717,-2.313279428,-0.275983484,7.5385105,7.14203812,1.917678381,-4.811960202,3.68690601,1.942740626,4.704017425,-3.492363534,4.224856368,3.430705397,7.146784854,1.232977316,8.9568825,9.78524568,8.315556896,3.378983185,3.230684428,9.455413254,5.331237143,-3.269051647,-0.216140288,-1.939045333,13.96656941,-0.265135459,1.102689361,-1.665613534,1.050773689,0.643828886,-4.509588112,-3.677005966,10.676181,1.948110879,7.199701184,-0.04299903,2398,5.532633638,337.2304311,2.104052174,TRUE,Mut;PRO
9,PD-SC1-01,N13,Mut;DMSO,,,,,13.45109797,0.968136354,1.463579593,3060,-0.869162637,-0.034855649,-1.133629466,-2.234796022,-5.037498318,8.427378401,1.447713987,0.085516507,-3.18409866,10.40502782,5.090366701,-0.071878025,-3.215685888,4.219555723,5.180704105,7.01367743,7.347366002,6.196563228,1.644153593,2.383159645,0.368712215,0.126362612,1.183546292,7.232593068,0.452536629,0.30318321,0.481670833,-0.985480293,1.026166254,3.176499818,-0.688786042,2.66049614,0.203849423,-4.465444468,-0.037273954,18.91892658,3.358374112,8.463254017,-0.130482187,2398,5.532633638,337.2304311,2.104052174,TRUE,Mut;DMSO
10,PD-SC1-01,M14,WT;DMSO,,,,,0.424372589,6.314529532,0,3438,0.167268484,0.766567977,-1.39228256,-1.49413522,-0.791743977,0.966169314,0,-0.342066028,0,0,0,-0.02928364,0.035752203,0,-0.513498888,0.381049638,-1.23746946,-1.386526061,-0.207322705,-0.196775863,0.060573253,0.097674055,-0.793039804,0.334021987,0.525931157,-1.486547797,-1.839270888,-2.720082075,-1.946180915,0.123407799,0.970987344,0.698909105,-0.012484217,0,-1.447507832,0,1.293840299,-0.203469816,1.12459584,2398,5.532633638,337.2304311,2.104052174,TRUE,WT;DMSO
