GC,TRPL,T1,T2,T3,T4,T5,T6
58.02481,27.84921,41.19208,0.239934,60.3296,74.925,37.73292,51.62967
60.92102,20.82376,31.80777,40.87672,36.24488,63.62957,30.22128,45.86008
43.65862,30.17391,29.42959,59.54322,60.97567,62.08531,34.547,71.5669
38.41517,19.82418,21.41857,47.40518,62.37981,60.73143,28.84028,56.27419
51.51925,27.42363,15.29831,42.74254,53.13996,49.38663,30.77624,53.21033
58.98448,45.95947,17.62015,40.19999,57.40892,46.88065,21.50761,49.02277
