Well,Treatment/ID,Timepoint (h),Mean Firing Rate (Hz)
A4,Tripli Tyr9,2,0
A5,Tripli TIC10,2,0.000104
A6,Tripli DMSO,2,0
A7,Tripli Tyr9,2,0
A8,Tripli TIC10,2,0
B1,Tripli Tyr9,2,0
B2,Tripli TIC10,2,0
B3,Tripli DMSO,2,0
B4,Tripli Tyr9,2,0
B5,Tripli TIC10,2,0
B6,Tripli DMSO,2,0
B7,Tripli Tyr9,2,0
B8,Tripli TIC10,2,0.000104
C1,Tripli Tyr9,2,0.000104
C2,Tripli TIC10,2,0.008441
C3,Tripli DMSO,2,0
C4,Tripli Tyr9,2,0
C5,Tripli TIC10,2,0.000104
C6,Tripli DMSO,2,0
C7,Tripli Tyr9,2,0.000104
C8,Tripli TIC10,2,0
D1,WT Tyr9,2,0.000625
D2,WT TIC10,2,0.000104
D3,WT DMSO,2,0
D4,WT Tyr9,2,0.000521
D5,WT TIC10,2,0.000104
D6,WT DMSO,2,0
D7,WT Tyr9,2,0.003439
D8,WT TIC10,2,0
E1,WT Tyr9,2,0.000104
E2,WT TIC10,2,0.000313
E3,WT DMSO,2,0.019279
E4,WT Tyr9,2,0
E5,WT TIC10,2,0
E6,WT DMSO,2,0
E7,WT Tyr9,2,0
E8,WT TIC10,2,0.01313
F1,WT Tyr9,2,0
F2,WT TIC10,2,0
F3,WT DMSO,2,0.007816
F4,WT Tyr9,2,0
F5,WT TIC10,2,0
F6,WT DMSO,2,0
F7,WT Tyr9,2,0
F8,WT TIC10,2,0.000208
A1,Tripli Tyr9,4,0
A2,Tripli TIC10,4,0
A3,Tripli DMSO,4,0.000104
A4,Tripli Tyr9,4,0
A5,Tripli TIC10,4,0
A6,Tripli DMSO,4,0
A7,Tripli Tyr9,4,0
A8,Tripli TIC10,4,0.000625
B1,Tripli Tyr9,4,0
B2,Tripli TIC10,4,0
B3,Tripli DMSO,4,0
B4,Tripli Tyr9,4,0.000104
B5,Tripli TIC10,4,0
B6,Tripli DMSO,4,0
B7,Tripli Tyr9,4,0
B8,Tripli TIC10,4,0.000313
C1,Tripli Tyr9,4,0
C2,Tripli TIC10,4,0
C3,Tripli DMSO,4,0.000104
C4,Tripli Tyr9,4,0
C5,Tripli TIC10,4,0
C6,Tripli DMSO,4,0
C7,Tripli Tyr9,4,0.000208
C8,Tripli TIC10,4,0.000625
D1,WT Tyr9,4,0
D2,WT TIC10,4,0
D3,WT DMSO,4,0
D4,WT Tyr9,4,0.024698
D5,WT TIC10,4,0
D6,WT DMSO,4,0
D7,WT Tyr9,4,0.037203
D8,WT TIC10,4,0
E1,WT Tyr9,4,0
E2,WT TIC10,4,0.000208
E3,WT DMSO,4,0.03293
E4,WT Tyr9,4,0
E5,WT TIC10,4,0
E6,WT DMSO,4,0
E7,WT Tyr9,4,0
E8,WT TIC10,4,0.000208
F1,WT Tyr9,4,0
F2,WT TIC10,4,0.000104
F3,WT DMSO,4,0.017299
F4,WT Tyr9,4,0
F5,WT TIC10,4,0.000104
F6,WT DMSO,4,0.000208
F7,WT Tyr9,4,0
F8,WT TIC10,4,0.000104
A1,Tripli Tyr9,8,0.000104
A2,Tripli TIC10,8,0
A3,Tripli DMSO,8,0
A4,Tripli Tyr9,8,0
A5,Tripli TIC10,8,0.000104
A6,Tripli DMSO,8,0.000104
A7,Tripli Tyr9,8,0
A8,Tripli TIC10,8,0
B1,Tripli Tyr9,8,0
B2,Tripli TIC10,8,0
B3,Tripli DMSO,8,0
B4,Tripli Tyr9,8,0.000104
B5,Tripli TIC10,8,0
B6,Tripli DMSO,8,0.000104
B7,Tripli Tyr9,8,0.000104
B8,Tripli TIC10,8,0.000208
C1,Tripli Tyr9,8,0
C2,Tripli TIC10,8,0.006253
C3,Tripli DMSO,8,0
C4,Tripli Tyr9,8,0
C5,Tripli TIC10,8,0.000104
C6,Tripli DMSO,8,0.000104
C7,Tripli Tyr9,8,0
C8,Tripli TIC10,8,0.010629
D1,WT Tyr9,8,0.003439
D2,WT TIC10,8,0
D3,WT DMSO,8,0
D4,WT Tyr9,8,0.085973
D5,WT TIC10,8,0.000104
D6,WT DMSO,8,0
D7,WT Tyr9,8,0.011359
