,Well,Plate,tags,Cell_Correlation_MAP2_SNCA,Cell_Correlation_TH_SNCA,Cell_Correlation_VanSteelselsMeanX_TH_SNCA,Cell_Correlation_VanSteelselsMeanY_TH_SNCA,Cell_Correlation_VanSteelselsSigmaX_TH_SNCA,Cell_Correlation_VanSteelselsSigmaY_TH_SNCA,Cell_Intensity_MeanIntensity_MAP2,Cell_Intensity_MeanIntensity_SNCA,Cell_Intensity_MeanIntensity_TH,Cell_Intensity_SumIntensityPerNuclei_SNCA,Cell_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cell_Neurites_BranchingPointsPerNuclei_MAP2,Cell_Neurites_BranchingPointsPerNuclei_TH,Cell_Neurites_LengthPerNuclei_MAP2,Cell_Neurites_LengthPerNuclei_TH,Cell_Neurites_Length_MAP2,Cell_Neurites_Length_TH,Cell_SurfacePerNuclei_MAP2,Cell_SurfacePerNuclei_MAP2_SNCA,Cell_SurfacePerNuclei_SNCA,Cell_SurfacePerNuclei_TH,Cell_SurfacePerNuclei_TH_SNCA,Cell_Surface_RatioSurface_TH_SNCA,Cell_Surface_TotalSurface_MAP2,Cell_Surface_TotalSurface_SNCA,Cell_Surface_TotalSurface_SNCA_MAP2,Cell_Surface_TotalSurface_TH,Cell_Surface_TotalSurface_TH_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_TH,Cell_TH_SNCA_Intensity_SumIntensityPerNuclei_SNCA,Cell_Texture_SNCA_AngularSecondMoment_000,Cell_Texture_SNCA_AngularSecondMoment_045,Cell_Texture_SNCA_AngularSecondMoment_090,Cell_Texture_SNCA_AngularSecondMoment_135,Cell_Texture_SNCA_Contrast_000,Cell_Texture_SNCA_Contrast_045,Cell_Texture_SNCA_Contrast_090,Cell_Texture_SNCA_Contrast_135,Cell_Texture_SNCA_Correlation_000,Cell_Texture_SNCA_Correlation_045,Cell_Texture_SNCA_Correlation_090,Cell_Texture_SNCA_Correlation_135,Cell_Texture_SNCA_DifferenceEntropy_000,Cell_Texture_SNCA_DifferenceEntropy_045,Cell_Texture_SNCA_DifferenceEntropy_090,Cell_Texture_SNCA_DifferenceEntropy_135,Cell_Texture_SNCA_DifferenceVariance_000,Cell_Texture_SNCA_DifferenceVariance_045,Cell_Texture_SNCA_DifferenceVariance_090,Cell_Texture_SNCA_DifferenceVariance_135,Cell_Texture_SNCA_Entropy_000,Cell_Texture_SNCA_Entropy_045,Cell_Texture_SNCA_Entropy_090,Cell_Texture_SNCA_Entropy_135,Cell_Texture_SNCA_InfoMeasuresOfCorr1_000,Cell_Texture_SNCA_InfoMeasuresOfCorr1_045,Cell_Texture_SNCA_InfoMeasuresOfCorr1_090,Cell_Texture_SNCA_InfoMeasuresOfCorr1_135,Cell_Texture_SNCA_InfoMeasuresOfCorr2_000,Cell_Texture_SNCA_InfoMeasuresOfCorr2_045,Cell_Texture_SNCA_InfoMeasuresOfCorr2_090,Cell_Texture_SNCA_InfoMeasuresOfCorr2_135,Cell_Texture_SNCA_InverseDiffMoment_000,Cell_Texture_SNCA_InverseDiffMoment_045,Cell_Texture_SNCA_InverseDiffMoment_090,Cell_Texture_SNCA_InverseDiffMoment_135,Cell_Texture_SNCA_SumAverage_000,Cell_Texture_SNCA_SumAverage_045,Cell_Texture_SNCA_SumAverage_090,Cell_Texture_SNCA_SumAverage_135,Cell_Texture_SNCA_SumEntropy_000,Cell_Texture_SNCA_SumEntropy_045,Cell_Texture_SNCA_SumEntropy_090,Cell_Texture_SNCA_SumEntropy_135,Cell_Texture_SNCA_SumOfSquares_000,Cell_Texture_SNCA_SumOfSquares_045,Cell_Texture_SNCA_SumOfSquares_090,Cell_Texture_SNCA_SumOfSquares_135,Cell_Texture_SNCA_SumVariance_000,Cell_Texture_SNCA_SumVariance_045,Cell_Texture_SNCA_SumVariance_090,Cell_Texture_SNCA_SumVariance_135,Cytoplasm_Intensity_MeanIntensity_SNCA,Cytoplasm_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cytoplasm_SurfacePerNuclei_SNCA,Cytoplasm_SurfacePerNuclei_TH_SNCA,Cytoplasm_Surface_TotalSurface SNCA,Cytoplasm_Surface_TotalSurface_SNCA,IndividualCell_Intensity_MeanIntensity_SNCA,IndividualCell_Intensity_RadialProfile_InterceptFit_SNCA,IndividualCell_Intensity_RadialProfile_MaxSlope_SNCA,IndividualCell_Intensity_RadialProfile_Maximum_SNCA,IndividualCell_Intensity_RadialProfile_MeanCoeffVar_SNCA,IndividualCell_Intensity_RadialProfile_MeanGradient_SNCA,IndividualCell_Intensity_RadialProfile_Mean_SNCA,IndividualCell_Intensity_RadialProfile_Median_SNCA,IndividualCell_Intensity_RadialProfile_Minimum_SNCA,IndividualCell_Intensity_RadialProfile_Q1_SNCA,IndividualCell_Intensity_RadialProfile_Q3_SNCA,IndividualCell_Intensity_RadialProfile_SlopeFit_SNCA,IndividualCell_Intensity_RadialProfile_StdCoeffVar_SNCA,IndividualCell_Intensity_RadialProfile_Std_SNCA,IndividualCell_Intensity_SumIntensity_SNCA,IndividualCell_Surface_MeanSurface_SNCA,Membrane_Intensity_MeanIntensity_MAP2,Membrane_Intensity_MeanIntensity_SNCA,Membrane_Intensity_MeanIntensity_TH,Membrane_Surface_SurfacePerNuclei_MAP2,Membrane_Surface_SurfacePerNuclei_SNCA,Membrane_Surface_SurfacePerNuclei_TH,Nuclei_Living_Ratio_MAP2,Nuclei_Living_Ratio_MAP2_SNCA,Nuclei_Living_Ratio_SNCA,Nuclei_Living_Ratio_TH,Nuclei_Living_Ratio_TH_SNCA,Nuclei_Number_Big,Nuclei_Number_Dead,Nuclei_Number_Living,Nuclei_Number_MAP2,Nuclei_Number_MAP2_SNCA,Nuclei_Number_SNCA,Nuclei_Number_TH,Nuclei_Number_TH_SNCA,Nuclei_Ratio_Dead,Nuclei_Ratio_Living,Nuclei_Surface_MeanArea
729,C12,Mat67-PD-SCP-04,Mut - PRO,0.341938,0.236131,42.8048,42.9773,25.6759,25.7909,954.544,653.206,477.181,4721020.0,681.209,7.523,10.1413,548.677,527.185,739616.0,425438.0,17706.2,6236.99,7227.45,10707.7,5147.79,1.16761,23868000.0,10089500.0,8388750.0,8641150.0,4118230.0,738.431,489.408,3801290.0,0.00334921,0.00298608,0.00326198,0.00297235,463.421,737.219,480.579,746.395,168558000.0,170555000.0,167982000.0,170472000.0,1.56984,1.67821,1.5843,1.6816,5.51501e-05,4.77244e-05,5.61447e-05,4.74056e-05,3.28986,3.35508,3.30321,3.3578,-0.328931,-0.298289,-0.320873,-0.296878,0.847508,0.825806,0.841838,0.824748,0.197804,0.169548,0.189094,0.168488,97.5749,98.7697,97.8149,98.7694,2.24518,2.24526,2.2425,2.24527,5065.4,5135.49,5074.37,5135.53,19587.9,19713.4,19602.3,19708.9,397.57,408.625,3191.98,2456.22,3303620.0,4456000.0,689.997,1074.33,-13.4019,2111.73,10.4333,-10.582,978.282,1214.77,251.021,738.069,1664.35,-11.8102,9.06062,285.557,7674130.0,10897.6,432.311,477.08,434.853,3915.57,895.131,945.025,0.964235,0.962089,0.998569,0.577253,0.572246,51.0,482.0,1398.0,1348.0,1345.0,1396.0,807.0,800.0,0.256383,0.743617,2947.0
730,C13,Mat67-PD-SCP-04,Mut - DMSO,0.239811,0.113043,40.4137,31.7628,11.4618,9.08662,1102.83,721.544,493.871,4958130.0,747.164,4.66847,7.49443,466.141,451.909,517417.0,324471.0,15289.1,6237.71,6871.56,9362.52,5020.86,1.20518,16970900.0,8101570.0,6880190.0,6722290.0,3564810.0,819.544,508.824,4114820.0,0.00465732,0.00421768,0.00453867,0.00420385,435.832,713.915,453.898,708.017,188623000.0,191609000.0,189067000.0,191694000.0,1.54382,1.65724,1.56022,1.6557,5.78931e-05,4.97574e-05,5.85359e-05,4.99603e-05,3.25313,3.32101,3.26779,3.32114,-0.337044,-0.304871,-0.328492,-0.304784,0.850477,0.828271,0.844757,0.828273,0.210024,0.180246,0.2009,0.180358,96.9639,98.1141,97.2204,98.1132,2.23281,2.23339,2.23048,2.23348,5201.51,5271.37,5212.0,5271.27,20149.3,20272.9,20170.3,20275.4,483.124,504.985,3110.27,2697.36,2975190.0,3667010.0,764.098,1235.85,-16.166,2410.24,10.1739,-12.748,1139.23,1378.27,251.016,815.512,1899.35,-14.1859,9.22021,352.498,8916800.0,12022.3,475.013,528.479,411.439,3139.15,718.357,765.301,0.9375,0.931588,0.995777,0.606419,0.599662,28.0,478.0,1184.0,1110.0,1103.0,1179.0,718.0,710.0,0.287605,0.712395,2805.05
731,C14,Mat67-PD-SCP-04,WT - DMSO,0.323704,0.155787,44.463,41.7371,17.5549,16.4169,1132.65,702.661,434.644,3339970.0,700.233,4.1366,8.95785,418.044,492.763,486603.0,339021.0,14714.5,4598.83,4753.32,9712.3,4390.23,0.865719,17127700.0,5784790.0,5288650.0,6682060.0,2932680.0,729.174,461.114,3201240.0,0.00410937,0.00373504,0.00401818,0.0037247,437.802,710.842,455.505,705.95,137367000.0,139848000.0,136565000.0,139884000.0,1.52776,1.63591,1.54317,1.63522,6.11573e-05,5.33961e-05,6.22001e-05,5.34807e-05,3.20151,3.26571,3.21507,3.26612,-0.343339,-0.31318,-0.334877,-0.312936,0.854032,0.834553,0.848526,0.834301,0.220117,0.191747,0.211088,0.191592,93.4203,94.6358,93.6184,94.6374,2.20768,2.20917,2.20464,2.2092,4982.21,5054.21,4989.74,5054.37,19292.5,19428.3,19303.9,19431.5,419.822,421.388,994.952,965.716,1110570.0,1210860.0,695.51,1000.93,-11.6984,2013.79,11.1128,-9.07972,937.33,1161.26,251.004,712.605,1587.35,-10.145,13.3352,261.008,4909220.0,6741.94,495.553,618.873,358.381,2893.72,284.167,653.765,0.954098,0.942623,0.997541,0.563934,0.547541,20.0,428.0,1220.0,1164.0,1150.0,1217.0,688.0,668.0,0.259709,0.740291,3068.32
749,D12,Mat67-PD-SCP-04,Mut - PRO,0.341512,0.134754,45.5257,52.9509,15.5462,17.9181,981.927,694.297,523.703,4533050.0,716.28,7.33036,8.48747,529.362,478.524,711462.0,381862.0,16179.8,5709.41,6528.98,10527.1,5064.0,1.10051,21745700.0,9245030.0,7622060.0,8400640.0,3965120.0,766.152,544.797,3879800.0,0.00396742,0.00353899,0.00384572,0.00354516,453.71,727.001,466.281,725.859,164679000.0,166486000.0,164353000.0,166443000.0,1.54816,1.65976,1.56364,1.65846,5.76715e-05,4.97543e-05,5.86239e-05,4.98762e-05,3.25336,3.32108,3.26781,3.32066,-0.335952,-0.303983,-0.327582,-0.304233,0.850316,0.828388,0.844717,0.828523,0.210703,0.180913,0.201497,0.181306,95.7353,96.9102,96.0045,96.9093,2.23151,2.23203,2.2293,2.23197,4954.52,5021.87,4965.76,5021.81,19159.1,19274.8,19185.6,19275.2,438.739,450.517,2643.27,2134.83,2850000.0,3742870.0,720.256,1111.88,-14.2847,2235.43,10.6559,-10.5817,1034.78,1282.05,251.002,770.087,1761.2,-11.8871,9.17157,311.809,7499220.0,10111.2,442.679,535.797,439.815,3777.87,811.157,1010.88,0.947146,0.940803,0.997886,0.562368,0.551797,32.0,595.0,1419.0,1344.0,1335.0,1416.0,798.0,783.0,0.295432,0.704568,2876.42
750,D13,Mat67-PD-SCP-04,Mut - DMSO,0.357193,0.0897091,42.3869,43.037,9.57521,9.71915,1043.4,739.988,533.097,5268350.0,767.6,5.72888,7.98689,530.578,492.723,508824.0,263114.0,16081.3,6461.37,7119.51,9810.03,5413.1,1.40255,15421900.0,7347340.0,6170610.0,5238560.0,2847290.0,842.109,516.481,4558420.0,0.00501033,0.00451373,0.00491394,0.00452975,425.248,692.183,440.959,693.207,162474000.0,164455000.0,162947000.0,164412000.0,1.52016,1.6306,1.53484,1.63012,6.08669e-05,5.29928e-05,6.19461e-05,5.30399e-05,3.19603,3.26253,3.2091,3.26234,-0.336298,-0.304583,-0.328346,-0.304684,0.846046,0.824113,0.840616,0.824083,0.221081,0.191269,0.21231,0.191619,92.8027,93.9298,93.0297,93.9301,2.19657,2.19793,2.1943,2.19783,4908.24,4975.23,4916.77,4975.23,19005.6,19122.4,19019.1,19121.9,474.546,492.008,3097.91,2707.99,2586130.0,3197050.0,792.567,1278.53,-16.2453,2519.63,10.3396,-13.3057,1168.48,1438.03,251.0,844.013,1985.42,-14.694,14.7143,361.294,10522700.0,13256.1,460.101,544.993,507.539,3559.75,794.453,880.972,0.928364,0.924492,0.999032,0.516941,0.509197,22.0,468.0,1033.0,959.0,955.0,1032.0,534.0,526.0,0.311792,0.688208,2758.96
751,D14,Mat67-PD-SCP-04,WT - DMSO,0.326733,0.108286,44.4098,43.8788,12.1464,11.9949,1137.92,681.842,448.158,3147050.0,678.959,5.36959,9.15909,499.696,539.839,519184.0,261282.0,16395.6,4419.88,4615.51,9897.25,4309.24,1.03385,17035000.0,4952440.0,4579000.0,4790270.0,2033960.0,698.233,428.21,3008850.0,0.00389045,0.00353118,0.00380291,0.00352013,445.187,704.354,451.221,704.717,131690000.0,134523000.0,131174000.0,134580000.0,1.52999,1.63424,1.54256,1.63513,6.13909e-05,5.40571e-05,6.25462e-05,5.38351e-05,3.19687,3.25961,3.20887,3.26047,-0.339112,-0.309902,-0.331269,-0.309355,0.850569,0.831327,0.845359,0.830935,0.218501,0.190739,0.210084,0.190569,91.8324,93.0662,92.0296,93.0676,2.19962,2.20107,2.19638,2.20137,4806.48,4878.29,4814.48,4878.42,18594.3,18736.5,18613.6,18736.7,385.902,385.728,906.04,872.859,904282.0,972181.0,670.287,911.007,-8.48527,1865.38,10.5665,-7.81849,877.499,1081.51,251.003,674.084,1472.05,-8.53262,7.03696,235.196,4863340.0,6911.37,496.415,605.357,424.536,3314.24,255.307,515.498,0.965613,0.962825,0.997212,0.449814,0.438662,19.0,354.0,1076.0,1039.0,1036.0,1073.0,484.0,472.0,0.247552,0.752448,3055.11
769,E12,Mat67-PD-SCP-04,Mut - PRO,0.321583,0.163499,50.524,49.7209,20.6692,20.3379,1070.42,687.388,450.671,4385470.0,708.438,6.20043,7.3125,509.403,415.652,703995.0,305920.0,16086.8,5843.32,6379.9,9084.25,4924.42,1.41892,22232000.0,9486910.0,7999510.0,6686010.0,3545580.0,743.97,455.596,3663620.0,0.00347784,0.00310726,0.00339547,0.00310604,443.039,707.601,452.455,708.964,152322000.0,153946000.0,152170000.0,153955000.0,1.55205,1.6605,1.56349,1.66009,5.71484e-05,4.95245e-05,5.85064e-05,4.95668e-05,3.25739,3.32277,3.26793,3.32281,-0.329805,-0.298651,-0.322865,-0.298611,0.846163,0.824064,0.84128,0.824092,0.205307,0.176726,0.197624,0.177062,92.9719,94.0672,93.1597,94.069,2.22776,2.22805,2.22483,2.22821,4740.8,4803.31,4747.51,4803.49,18323.6,18424.1,18333.5,18424.2,448.201,460.163,2595.81,2234.29,3058740.0,3859970.0,699.344,1085.55,-14.9433,2157.03,10.1859,-10.4844,1010.38,1239.84,251.049,749.881,1700.3,-11.8274,7.98447,303.153,7436940.0,10009.0,451.157,521.563,433.253,3455.34,661.056,614.319,0.92814,0.919409,0.998657,0.494291,0.483546,37.0,530.0,1489.0,1382.0,1369.0,1487.0,736.0,720.0,0.262506,0.737494,2815.16
770,E13,Mat67-PD-SCP-04,Mut - DMSO,0.351148,0.169174,39.2581,38.8675,16.6484,16.4532,1184.02,718.043,494.802,5293090.0,745.389,4.91962,7.78107,475.632,448.828,497035.0,303408.0,14805.6,6679.56,7371.55,9469.97,5618.63,1.32998,15471800.0,8514140.0,6926700.0,6401700.0,3708300.0,834.66,498.501,4689640.0,0.00594979,0.00537299,0.00584835,0.0053957,401.121,660.307,417.392,653.035,151019000.0,152942000.0,151184000.0,153005000.0,1.50509,1.61802,1.51978,1.61618,6.14682e-05,5.3318e-05,6.25897e-05,5.34118e-05,3.18791,3.25609,3.20078,3.25572,-0.34274,-0.310189,-0.335027,-0.310338,0.850303,0.828364,0.845181,0.828372,0.227406,0.196607,0.218928,0.19701,91.2427,92.3422,91.4829,92.3428,2.19995,2.20123,2.19733,2.20106,4814.35,4879.69,4824.67,4879.73,18649.5,18764.3,18670.5,18768.1,452.896,469.117,3344.59,2962.47,3072080.0,3863000.0,795.226,1375.11,-19.5138,2611.49,9.14292,-15.549,1204.12,1485.23,251.281,867.996,2054.51,-17.2691,8.04011,372.151,9259070.0,12277.3,489.294,536.462,467.77,3060.55,794.669,750.043,0.901639,0.894737,0.996549,0.583261,0.569456,17.0,558.0,1159.0,1045.0,1037.0,1155.0,676.0,660.0,0.324985,0.675015,2694.29
771,E14,Mat67-PD-SCP-04,WT - DMSO,0.29161,0.0564029,38.6108,31.8883,5.47618,4.5828,1145.47,680.08,489.42,3406730.0,677.627,5.23486,10.2545,504.729,532.641,541574.0,322248.0,17460.3,4828.84,5009.3,9912.98,4509.17,0.925459,18734900.0,5550310.0,5133060.0,5997350.0,2646890.0,710.376,497.119,3203210.0,0.00403353,0.00365566,0.00392272,0.00364507,450.766,713.13,459.717,714.751,134863000.0,137764000.0,134300000.0,137743000.0,1.54141,1.64547,1.55513,1.6471,5.95653e-05,5.2395e-05,6.07098e-05,5.22004e-05,3.21726,3.2799,3.23006,3.2811,-0.336932,-0.307692,-0.328746,-0.30706,0.850182,0.830778,0.844797,0.830325,0.213372,0.185909,0.204247,0.185103,93.4194,94.6848,93.6342,94.685,2.20832,2.20992,2.20566,2.20996,4864.39,4938.83,4873.02,4938.85,18814.6,18965.6,18835.0,18964.9,411.246,414.677,1118.06,1078.25,1146180.0,1238810.0,671.554,933.347,-8.08179,2053.64,10.61,-7.74736,950.587,1187.78,251.012,722.821,1623.3,-8.66825,7.49216,260.411,5022960.0,7115.22,481.54,579.907,461.832,3417.68,249.701,475.628,0.964061,0.955076,0.995508,0.543576,0.527403,27.0,394.0,1113.0,1073.0,1063.0,1108.0,605.0,587.0,0.261447,0.738553,3166.32
789,F12,Mat67-PD-SCP-04,Mut - PRO,0.317844,0.304966,38.5657,46.0933,29.7298,35.251,1094.4,679.254,436.383,4433970.0,706.671,7.42462,7.1935,560.198,429.161,769152.0,290542.0,17147.1,5764.66,6527.7,9714.84,5068.38,1.45999,23543000.0,9602250.0,7805350.0,6576940.0,3365400.0,763.78,453.453,3871120.0,0.00364054,0.00325478,0.0035471,0.00324376,459.006,738.5,472.57,733.96,150180000.0,151953000.0,149457000.0,151969000.0,1.55628,1.66639,1.5704,1.66705,5.6918e-05,4.91936e-05,5.793e-05,4.90653e-05,3.25867,3.32469,3.27163,3.32623,-0.330682,-0.299416,-0.322892,-0.298614,0.846332,0.824119,0.840855,0.823466,0.205555,0.176772,0.19692,0.176091,94.7275,95.8645,94.9491,95.8634,2.22836,2.22875,2.22609,2.22886,4897.35,4962.64,4904.69,4962.58,18933.7,19038.2,18944.2,19040.2,423.629,431.383,2552.99,1988.33,2692200.0,3755450.0,721.948,1101.56,-14.1585,2170.11,9.85299,-10.6545,1005.38,1245.9,251.025,753.072,1709.33,-12.135,7.96329,295.733,7467280.0,10114.3,450.624,520.17,381.808,4062.02,807.923,708.357,0.930217,0.917344,0.996612,0.458672,0.449864,36.0,653.0,1476.0,1373.0,1354.0,1471.0,677.0,664.0,0.306717,0.693283,2828.68
790,F13,Mat67-PD-SCP-04,Mut - DMSO,0.299228,0.0846903,42.2611,37.6741,8.91128,7.97856,1169.13,731.948,479.522,4860780.0,751.658,4.93539,7.53963,471.93,459.093,489391.0,272242.0,15425.9,6173.11,6640.88,9268.71,5230.83,1.36531,15996700.0,7504200.0,6358310.0,5496350.0,3033880.0,833.084,487.259,4357720.0,0.0053136,0.00480425,0.00519087,0.00479431,419.167,678.048,428.181,675.204,160744000.0,162533000.0,160778000.0,162585000.0,1.51956,1.63058,1.533,1.63065,6.04499e-05,5.24252e-05,6.153e-05,5.2519e-05,3.20957,3.27669,3.22258,3.27739,-0.340187,-0.308101,-0.33265,-0.307756,0.850743,0.829225,0.845783,0.828992,0.221262,0.190882,0.212596,0.190909,92.2294,93.3469,92.5205,93.348,2.21016,2.21106,2.20783,2.21106,4830.21,4896.45,4843.58,4896.52,18697.2,18816.1,18734.2,18817.9,473.137,490.168,2701.48,2477.67,2552000.0,3052670.0,791.063,1227.85,-13.4715,2666.07,9.32117,-12.0006,1236.17,1512.6,251.0,881.994,2095.05,-13.3787,7.72955,393.102,8821680.0,11079.3,482.707,541.962,500.896,3061.76,634.627,633.106,0.915269,0.909091,0.997352,0.523389,0.511915,18.0,541.0,1133.0,1037.0,1030.0,1130.0,593.0,580.0,0.323178,0.676822,2754.16
791,F14,Mat67-PD-SCP-04,WT - DMSO,0.291731,0.161552,49.7929,41.6582,20.1241,16.9572,1302.28,658.848,405.288,3176160.0,652.311,5.26923,9.94628,547.532,596.498,569433.0,288705.0,16450.6,4548.53,4820.79,10412.6,4468.38,1.06848,17108600.0,5384820.0,4675890.0,5039720.0,2055460.0,657.095,401.268,2936150.0,0.00420015,0.00382139,0.00410595,0.00382117,438.008,690.116,440.808,691.739,120140000.0,122401000.0,119435000.0,122403000.0,1.52567,1.6281,1.53723,1.62884,6.18378e-05,5.46042e-05,6.32225e-05,5.4556e-05,3.18133,3.24276,3.19283,3.24366,-0.33818,-0.309291,-0.33034,-0.30887,0.849007,0.829859,0.843748,0.829547,0.219257,0.192023,0.210684,0.191844,89.8696,91.0545,90.0508,91.0546,2.18714,2.18886,2.18381,2.18907,4668.79,4736.96,4674.88,4736.97,18058.4,18190.6,18072.6,18189.8,389.053,383.495,967.004,908.305,933738.0,1080140.0,637.741,849.78,-7.10431,1757.5,11.1847,-7.11048,824.126,1030.24,251.003,645.804,1394.67,-7.7442,9.29154,214.371,4971210.0,7460.17,540.848,627.089,333.449,3555.49,287.27,567.376,0.929401,0.918677,0.998213,0.432529,0.411081,23.0,440.0,1119.0,1040.0,1028.0,1117.0,484.0,460.0,0.282232,0.717768,3095.15
809,G12,Mat67-PD-SCP-04,Mut - PRO,0.307466,0.26734,48.3964,38.5025,32.3034,25.9733,1113.66,722.11,462.886,4493030.0,745.735,5.72155,8.63014,497.028,454.836,703295.0,398436.0,15682.0,5765.51,6222.08,9497.78,4981.67,1.16514,22190000.0,9694000.0,8071710.0,8320050.0,4289220.0,815.632,481.477,4063210.0,0.00466939,0.00421279,0.00457255,0.00421348,436.394,702.643,449.76,702.077,138576000.0,140285000.0,138020000.0,140290000.0,1.52637,1.6364,1.54016,1.6364,6.02682e-05,5.23954e-05,6.13927e-05,5.23422e-05,3.21034,3.27676,3.22273,3.27695,-0.336768,-0.304995,-0.329202,-0.304877,0.847408,0.825499,0.842279,0.825392,0.220047,0.190458,0.21166,0.190393,90.9082,91.9809,91.1091,91.9812,2.20688,2.20726,2.20415,2.20733,4652.42,4712.97,4658.38,4712.99,17984.9,18077.5,17990.3,18077.8,430.258,443.682,2377.37,2128.08,2979310.0,3703940.0,744.822,1191.99,-15.7804,2416.66,9.88714,-11.788,1097.12,1378.27,251.002,817.211,1900.93,-13.2079,8.62478,335.898,7707300.0,10142.3,463.741,521.768,404.257,3535.48,727.893,759.615,0.904731,0.895141,0.996164,0.560102,0.550512,34.0,763.0,1564.0,1415.0,1400.0,1558.0,876.0,861.0,0.32789,0.67211,2680.88
810,G13,Mat67-PD-SCP-04,Mut - DMSO,0.266666,0.235979,48.2502,41.7477,28.3237,24.463,1168.3,756.193,446.349,5441500.0,787.367,5.71238,8.22685,542.82,469.107,609587.0,349485.0,16274.5,6524.53,7195.92,9428.75,5288.03,1.25286,18276300.0,8800610.0,7261800.0,7024420.0,3881410.0,882.02,469.925,4664150.0,0.00594657,0.00541065,0.00584879,0.005411,420.925,694.388,441.85,692.171,157978000.0,159388000.0,157850000.0,159439000.0,1.50832,1.62074,1.52378,1.62053,6.2226e-05,5.40969e-05,6.32296e-05,5.40279e-05,3.17496,3.24222,3.18781,3.24249,-0.33962,-0.307218,-0.3316,-0.307029,0.847625,0.825581,0.842186,0.825451,0.227083,0.196695,0.218626,0.196684,90.4533,91.5355,90.6295,91.5357,2.18785,2.1887,2.18474,2.18877,4784.1,4848.31,4789.38,4848.31,18523.1,18625.9,18521.5,18627.0,483.881,501.105,3171.42,2776.38,3090110.0,3878650.0,800.841,1312.12,-16.1458,2796.18,8.92861,-13.43,1271.37,1585.55,251.788,916.333,2198.98,-15.1266,6.82553,402.901,9266360.0,11362.9,488.263,574.989,372.873,3564.28,813.285,731.344,0.914495,0.906352,0.995928,0.606678,0.59772,20.0,659.0,1228.0,1123.0,1113.0,1223.0,745.0,734.0,0.349232,0.650768,2778.14
811,G14,Mat67-PD-SCP-04,WT - DMSO,0.303959,0.0677139,40.9416,41.446,6.99793,7.08454,1307.92,713.825,489.582,3775290.0,704.855,4.55505,7.78827,514.582,470.114,560894.0,328610.0,15961.8,5001.4,5288.82,9471.11,4515.32,0.920308,17398400.0,6092720.0,5391510.0,6620300.0,3025260.0,730.748,534.189,3299560.0,0.00474883,0.00433671,0.00465479,0.00434071,424.39,686.984,437.584,679.781,108461000.0,110325000.0,108193000.0,110367000.0,1.50448,1.61111,1.51904,1.60908,6.44848e-05,5.66581e-05,6.55809e-05,5.69315e-05,3.14399,3.20746,3.15701,3.20733,-0.343366,-0.313197,-0.334971,-0.313323,0.850286,0.830624,0.84477,0.830669,0.230632,0.202025,0.221484,0.202262,86.6928,87.8151,86.9118,87.8152,2.17166,2.17357,2.16849,2.17355,4501.33,4565.85,4511.28,4565.81,17411.8,17524.0,17435.6,17527.4,446.195,431.479,1200.55,1168.46,1259600.0,1383030.0,682.977,983.268,-10.2375,2018.77,10.2228,-8.46416,928.852,1165.99,251.002,713.79,1593.17,-9.533,7.05662,254.329,5193960.0,7146.78,546.089,672.664,423.069,3394.02,344.717,611.348,0.942907,0.932526,0.99654,0.604671,0.579585,19.0,656.0,1156.0,1090.0,1078.0,1152.0,699.0,670.0,0.362031,0.637969,2912.32
829,H12,Mat67-PD-SCP-04,Mut - PRO,0.272886,0.0640977,44.0569,42.6837,7.16538,6.93111,1124.36,742.608,572.108,4389320.0,776.042,6.02653,6.51038,488.35,391.506,773058.0,414996.0,14674.1,5398.01,5910.68,9120.55,4688.14,1.07542,23229200.0,10396900.0,8437090.0,9667780.0,4908480.0,842.425,608.378,3949400.0,0.00451493,0.00406431,0.00441276,0.00404846,424.51,690.911,441.174,690.794,125796000.0,126973000.0,125186000.0,126996000.0,1.51482,1.62533,1.52994,1.62648,6.18728e-05,5.38252e-05,6.29288e-05,5.36826e-05,3.18498,3.25174,3.19854,3.25276,-0.337401,-0.305194,-0.329273,-0.304607,0.846885,0.82472,0.841477,0.824426,0.223667,0.193833,0.215043,0.193223,87.8408,88.8746,88.0611,88.8748,2.19294,2.1935,2.19019,2.19363,4488.75,4546.98,4497.4,4546.96,17352.5,17435.7,17366.7,17435.7,477.571,498.949,2144.14,1802.62,2817490.0,3771540.0,750.645,1126.07,-14.1682,2477.08,10.1583,-10.2825,1132.98,1413.95,251.009,832.828,1951.01,-11.6394,8.96147,346.048,6900190.0,8665.8,463.315,582.63,497.114,3386.3,635.454,756.698,0.894856,0.88355,0.994347,0.599209,0.59186,35.0,813.0,1769.0,1583.0,1563.0,1759.0,1060.0,1047.0,0.314872,0.685128,2630.06
