Plate,Well,mahalanobis_from_neg,tags,SC_cat,SC_Batch,SC_name,SC_Target_name,final_conc,Destination Plate Barcode,Nuclei_Number_Living,Cell_Neurites_LengthPerNuclei_MAP2,mahalanobis_from_pos,Cell_Texture_SNCA_AngularSecondMoment_045,Cell_Texture_SNCA_AngularSecondMoment_000,Cell_Correlation_MAP2_SNCA,Cell_Correlation_TH_SNCA,Cell_Correlation_VanSteelselsMeanX_TH_SNCA,Cell_Correlation_VanSteelselsMeanY_TH_SNCA,Cell_Correlation_VanSteelselsSigmaX_TH_SNCA,Cell_Correlation_VanSteelselsSigmaY_TH_SNCA,Cell_Intensity_MeanIntensity_MAP2,Cell_Intensity_MeanIntensity_SNCA,Cell_Intensity_MeanIntensity_TH,Cell_Intensity_SumIntensityPerNuclei_SNCA,Cell_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cell_Neurites_BranchingPointsPerNuclei_MAP2,Cell_Neurites_BranchingPointsPerNuclei_TH,Cell_Neurites_LengthPerNuclei_TH,Cell_SurfacePerNuclei_MAP2,Cell_SurfacePerNuclei_MAP2_SNCA,Cell_SurfacePerNuclei_SNCA,Cell_SurfacePerNuclei_TH,Cell_SurfacePerNuclei_TH_SNCA,Cell_Surface_RatioSurface_TH_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_TH,Cell_TH_SNCA_Intensity_SumIntensityPerNuclei_SNCA,Cytoplasm_Intensity_MeanIntensity_SNCA,Cytoplasm_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cytoplasm_SurfacePerNuclei_SNCA,Cytoplasm_SurfacePerNuclei_TH_SNCA,IndividualCell_Intensity_MeanIntensity_SNCA,IndividualCell_Intensity_RadialProfile_InterceptFit_SNCA,IndividualCell_Intensity_RadialProfile_MaxSlope_SNCA,IndividualCell_Intensity_RadialProfile_Maximum_SNCA,IndividualCell_Intensity_RadialProfile_MeanGradient_SNCA,IndividualCell_Intensity_RadialProfile_Mean_SNCA,IndividualCell_Intensity_RadialProfile_Median_SNCA,IndividualCell_Intensity_RadialProfile_Minimum_SNCA,IndividualCell_Intensity_RadialProfile_Q1_SNCA,IndividualCell_Intensity_RadialProfile_Q3_SNCA,IndividualCell_Intensity_RadialProfile_SlopeFit_SNCA,IndividualCell_Intensity_RadialProfile_Std_SNCA,IndividualCell_Intensity_SumIntensity_SNCA,IndividualCell_Surface_MeanSurface_SNCA,Membrane_Intensity_MeanIntensity_SNCA,Membrane_Intensity_MeanIntensity_TH,Membrane_Surface_SurfacePerNuclei_MAP2,Membrane_Surface_SurfacePerNuclei_SNCA,Nuclei_Living_Ratio_MAP2,Nuclei_Living_Ratio_MAP2_SNCA,Nuclei_Living_Ratio_SNCA,Nuclei_Living_Ratio_TH_SNCA,Nuclei_Ratio_Dead,Nuclei_Ratio_Living,Nuclei_Surface_MeanArea
PD-SCD-01,J15,1.962662646,Mut;FCCP,S8276,S8276-01,FCCP,ATPase,5.13E-07,PD-SCD-01,958,-1.9806019,10.90386619,0.35778794,0.31789902,1.937309,1.74099,5.4670696,4.377292,4.1763244,3.4793868,-2.3012211,0.10998569,-0.968679,8.268914,0.20762518,0.003448143,6.8119173,2.4440615,2.8008366,7.7234354,6.819061,3.7968652,6.243877,5.522299,0.3515742,-0.8728601,7.0703588,-0.52435637,-0.6707179,6.3243647,6.95059,1.549965,2.258361,-0.44629917,2.829064,-0.42658174,2.2822015,2.8772235,10.748574,2.9325066,2.8502312,-0.440765,2.0232246,10.346793,11.339751,-0.22538969,-1.6822207,0.2250996,6.0114107,-2.3895206,-1.7555914,-0.40034133,-1.1179374,1.309715,-1.3097135,-1.859936
PD-SCD-01,M03,6.611376968,Mut;FCCP,S8276,S8276-01,FCCP,ATPase,5.13E-06,PD-SCD-01,737,-1.4457313,4.359404317,-0.25432074,-0.27379322,2.1869018,1.8196961,1.5257778,5.5823507,2.4189472,4.1772084,-0.6403628,-0.21379463,2.6819289,1.3499829,-0.014021028,-1.8576099,-0.59399956,-2.0422428,0.741754,2.7156115,1.8845766,0.3761525,2.0279474,2.8674164,-0.2107751,2.2026815,1.2292727,-0.7759083,-0.8448813,0.1912907,0.8645649,-0.48006895,-0.3673357,0.8325163,0.45581692,0.71772015,-0.20639472,0.4889671,0.35614833,0.452071,0.47691268,0.82713526,-0.33867785,3.2256038,4.397582,-0.06294636,1.930098,-1.1289217,1.4445336,-6.3746247,-6.844257,-2.6852305,-1.7847967,1.3249922,-1.3249912,-3.72037
PD-SCD-01,C21,1.808459914,Mut;FCCP,S8276,S8276-01,FCCP,ATPase,1.03E-06,PD-SCD-01,1063,-3.0593953,11.01835612,-0.73645025,-0.76213944,2.7493124,2.1805823,4.81257,3.23692,4.4111366,3.4204595,-4.099649,-0.53216815,0.31926972,7.4184837,-0.38448906,-0.6646934,4.8700933,0.97836107,0.05116755,7.6646986,7.0561094,3.9599552,7.472552,5.966896,-0.46252373,0.57054675,7.1379957,-0.85017145,-0.88488376,6.3315516,6.8873224,0.41151798,1.1985031,0.7820545,2.4546618,0.68075055,1.8771174,2.5031831,11.430501,2.5642874,2.4754014,0.7306873,2.0553246,10.872775,12.778368,-0.55777866,0.08250143,-0.9590765,7.384198,-5.697251,-4.5757055,0.51646715,-1.294273,1.5796132,-1.5796127,-1.7418308
PD-SCD-01,D10,4.723229166,Mut;FCCP,S8276,S8276-01,FCCP,ATPase,1.03E-05,PD-SCD-01,750,-1.2887074,6.505244833,-0.7066848,-0.7224372,0.9472436,1.23033,2.3630145,4.0980678,2.00071,2.7176163,-3.3614104,0.007900619,1.448965,4.1271443,-0.33078128,-1.6165838,0.7552154,-0.067719676,-0.6690723,4.138628,3.784492,1.8209862,4.549132,5.799332,-0.7371453,2.1864169,3.3770015,-0.37242368,-0.61256325,1.4769185,2.2826524,-0.7051382,-1.9042609,2.0658143,0.4980005,2.8062181,-0.030124448,0.50666195,2.3741813,0.5170767,0.500982,2.8605936,-0.057920564,4.4038467,5.8800216,0.3812286,1.1693887,-1.0658745,3.3751209,-16.03286,-13.73892,-5.0178604,-4.00677,3.9278777,-3.927875,-3.524099
PD-SCD-01,F18,8.49682515,Mut;FCCP,S8276,S8276-01,FCCP,ATPase,3.03E-05,PD-SCD-01,459,0.6109588,5.998886496,0.55536956,0.5452186,-0.62573254,-0.032822475,0.08301873,0.48539925,-0.2704637,0.000393898,2.7180598,3.3793883,5.554721,8.630819,3.8707545,-2.8943098,-5.0140967,-2.5425327,0.28798518,3.6912012,3.4065073,2.0354939,3.9873943,1.7654476,3.240056,6.5038714,8.545799,1.4532682,1.3812295,1.966754,2.7361138,4.3069444,5.631272,-3.683164,5.2593064,-3.6252012,4.9381022,5.2756405,16.289852,5.4263144,5.254151,-3.7198422,4.724055,5.7145114,3.541646,1.7408382,4.530845,-1.4512645,1.1735687,-4.3337426,-4.7773247,-4.196225,0.16510755,3.0179179,-3.017916,-2.990061
PD-SCD-01,G05,4.182450995,Mut;FCCP,S8276,S8276-01,FCCP,ATPase,2.56E-07,PD-SCD-01,1142,-2.7790923,8.29866915,-0.7677384,-0.7778148,0.8062582,-0.5229064,3.2653,4.09925,0.25938812,0.5931612,-1.4269775,0.20630744,-0.0246977,6.469508,0.57247484,-0.90948594,3.391158,-0.69060653,-0.21540292,6.355441,5.328218,0.4391393,5.218261,9.183015,0.7387479,-0.7098518,6.4306865,-0.42189682,-0.39011577,4.623099,5.3694425,1.8160437,2.7396083,-1.3567777,3.6340215,-1.1287874,2.7821445,3.6638484,-0.48930213,3.6301718,3.6540773,-1.0976831,2.625982,9.302885,9.339725,-0.5200142,1.6250135,-1.9854429,4.562723,-4.870507,-3.9334915,-1.4354507,-2.9024334,0.97653455,-0.97653383,-1.1972377
PD-SCD-02,J06,6.606607969,Mut;FCCP,S8276,S8276-01,FCCP,ATPase,1.03E-05,PD-SCD-02,597,1.9176995,6.46449312,2.5574157,2.6221223,-1.9385988,-0.8308472,-1.0919577,-0.394013,-0.76140654,-0.65985924,0.28767914,6.6669984,2.8735049,11.309967,6.515471,-2.2949092,-2.0015259,-0.17301545,1.5761268,3.3709788,3.8571608,2.5683746,3.794527,1.5534989,5.4544888,4.3616858,8.899945,5.875111,5.1917696,-0.102873914,0.15161636,5.070157,3.39181,-1.7678144,3.9783888,-1.731013,4.0928664,3.9225693,10.291168,4.0231967,3.9365435,-1.6512504,4.0025916,5.0699987,2.2714763,1.5872663,0.87048155,-0.70446885,2.5718694,-13.840362,-12.755161,-7.362275,-1.0342474,4.927757,-4.9277573,-4.277359
PD-SCD-02,J07,7.655610085,Mut;FCCP,S8276,S8276-01,FCCP,ATPase,5.13E-06,PD-SCD-02,617,-0.27773613,7.480159432,0.68013334,0.748446,1.3542141,1.2914093,0.90313965,2.4543593,1.6899261,2.065524,0.30326268,2.1766634,0.49040198,8.415117,2.098183,-2.570685,-1.1317824,-1.9214538,2.9216728,6.997166,6.411065,0.6691298,6.0313807,2.9804897,1.6967169,0.16069259,6.0404053,0.5470007,0.3317338,3.6257322,4.1686316,2.4568706,2.4981375,-1.1776781,3.822167,-0.99478054,3.0522954,3.847986,28.68392,3.9396534,3.8282936,-1.0547472,3.077891,9.49093,7.668161,0.72209823,0.47957423,-1.0853229,2.3086429,-4.0308924,-3.2629755,-0.5754361,0.8811603,2.9969668,-2.996967,-1.6241018
PD-SCD-02,D11,0.560961466,Mut;FCCP,S8276,S8276-01,FCCP,ATPase,2.56E-07,PD-SCD-02,1016,-5.8747153,13.37209727,-2.1787949,-2.1988897,0.6213428,-1.0091033,-0.9266425,0.50297314,-0.8597736,-0.64823645,-4.452375,0.013009122,-2.4418542,9.803652,0.09192524,-1.5064669,9.38349,5.7620163,2.1637,12.160646,11.302302,4.9062004,14.253531,11.251555,0.20601928,-4.724426,9.516046,0.036191795,0.008177481,8.893809,9.21628,2.5500917,2.6274056,-1.3715477,2.1090894,-1.6834245,2.3015132,2.1211529,8.101583,2.1427963,2.1134932,-1.6938232,2.1604922,19.169674,21.880442,-0.33331776,0.67823386,-4.1610703,8.926801,-4.8156185,-4.452834,-2.54543,-3.7820585,1.439961,-1.4399605,-2.6859267
PD-SCD-02,D10,0.98203593,Mut;FCCP,S8276,S8276-01,FCCP,ATPase,5.13E-07,PD-SCD-02,1010,-6.8535957,13.65950613,-0.7060076,-0.6881614,0.5273794,0.14848812,1.3409381,0.4901565,0.6980664,0.35297248,-4.162596,0.9393237,-0.5433701,9.301546,1.1796547,-1.9507983,6.1322145,1.9368519,0.83548784,10.023802,9.172269,1.8143282,10.36081,8.801179,1.3726494,-1.6598223,8.675706,0.11159379,0.11481377,8.148958,8.733067,3.9646876,5.1106987,-3.2256007,4.3318405,-3.320813,4.3700314,4.29206,12.015132,4.3782287,4.298714,-3.338167,3.9814365,17.30432,18.474072,-0.54378587,0.2761416,-3.5952837,6.8024735,-3.400531,-2.2674787,0.058415655,-1.9375864,1.664836,-1.6648369,-2.537463
